question_id,display_name,title,answer_count,score,is_answered
79832977,Stas Badzi,is it possible to load a symbol from an executable,0,0,False
79832663,Timbuck,java project dependency jar - only part of new code being recognized,0,0,False
79832652,davidto,cant open more than 8000 tcp connections with java,1,1,False
79832635,JavaLatte,getresource returns null for a file that is listed by getresourceasstream,0,1,False
79832493,Aadish,what is setallowuniversalaccessfromfileurls(true),0,-4,False
79832443,the,"`filters.eq(fieldname, value)` not actually creating `$eq` causes issues",1,0,False
79832191,Lson,how to add 64-bit os check for java 17 javafx app when packaging with launch4j-maven-plugin?,0,1,False
79832184,user31958440,why can i not seem to get gradle to work?,1,0,True
79832067,Silver Hyangiraikyo,exclude map name when parsing gson to json,1,0,False
79832040,Jeremy Lanssiers,using pagination & sorting in spring boot 4 with crudrepository & pagingandsortingrepository,3,0,True
79831997,Fatko,formatting the first symbol of a string to be upper case - a private method or formatting on the go?,1,-5,True
79831984,Snilspefad,http-403 when authentication in spring authentication server after /login in spring cloud gateway,0,0,False
79831901,toreitc,m2e workspace resolution broken after upgrading from eclipse 2021 to 2025,0,2,False
79831892,Hamza Belmellouki,"how to copy a fully qualified method reference in vs code (like intellij’s ""copy reference"")?",1,0,False
79831835,Kannan J,need help understanding why this locksupport.park hangs indefinitely,0,1,False
79831810,Daniel,losing mdc in quarkus managedexecutor,0,0,False
79831753,sii desarrollo2,error: sun.security.validator.validatorexception: pkix path building failed: sun.security.provider.certpath.suncertpathbuilderexception:,0,0,False
79831723,Neph,"""command is either misspelled or could not be found"" with win 11 but not win 10",1,0,False
79831694,Daniel Junglas,memory leak in jni with attachcurrentthread() and detachcurrentthread(),0,3,False
79831621,杨尚山,how does the jvm instruction getfield work?,1,0,True
79831562,Sergey Zolotarev,intercepting user toggle button clicks,1,0,False
79831513,FrJ,spring boot: 400 bad request when sending json to post endpoint (request body always null),1,0,False
79831506,Wim Deblauwe,how to fail at startup in spring boot 4 if the base-url property is not set?,1,1,True
79831452,Sudharshan Reddy,errors while starting wildfly 35.0.1 server which is configured for jasper reports 9.0.0,0,0,False
79831450,kiruba T,hugging face /hf-inference/v1/chat/completions returns 422 in eclipse plugin,0,0,False
79831382,tjDoe,"spring boot cors preflight request returns 403 ""invalid cors request"" for post /login",0,0,False
79831364,Waluigi Apparition,how do i code a binary search involving two arrays of words?,0,-3,False
79831351,Sundar D,facing error while creating csr certificate using openssl inside a javacode using process builder,0,-1,False
79831217,CraigFoote,how do i prevent a maven mojo parameter from being encoded on write to xml?,0,0,False
79831145,AV_Dev,tournament sort correction,0,-3,False
79830491,Wim Deblauwe,how to configure http service clients with protobuf in spring boot 4?,1,0,True
79830456,Buffalo,bigquery data is not inserted in tables,0,0,False
79830440,Manas Ranjan Das,force full expression evaluation or disable short-circuiting logic in spel expressions,1,2,True
79830374,Axion,spring aspect method not called,0,-3,False
79830299,Guppy_00,springboot custom validator in service class is executed twice,1,1,False
79830290,Matt Lindsey,rendering text to an image in java,1,1,True
79830181,zajer,casting collection<implementation> to collection<interface>,0,0,False
79830076,horsemeat,constructor not accepting list of derived class as argument,1,0,True
79830071,Hardik Kumar,how to change intellij terminal font colors,1,-3,False
79830064,gordon613,"how to trigger ""copy"" on notification",0,0,False
79829987,Yumna Nizar,how to draw class diagram of class which includes only main(),0,-1,False
79829984,Gurkirat Singh,why does my java code behave differently inside a loop when checking conditions using a hashset?,1,1,True
79829952,Lucy,"h2 database connects in ide, but not from console or as a jar file",2,0,True
79829867,Antonn Karolk aertonsena,java.lang.classnotfoundexception: class org.apache.activemq.jndi.activemqinitialcontextfactory not found at run time,0,0,False
79829722,Naveen.P,how to debug on stage environment on aem cloud for custom service interface and implementation class,0,-1,False
