tag,question_id,display_name,title,body,answer_count,score,is_answered
web,79827075,Stellas Man,Deploying embedded Javascript to a remote server,,1,0,False
web,75414030,AnoDev DevJunior,Little problem with display data from local server in html table with php and sql,,1,-3,True
web,75395551,Ireugbu David,Making a div positioned absolute leave the boundary of it&#39;s parent div,,1,0,True
web,75392650,MrsHappiness,Change Tik Tok bio automatically,,1,-1,True
web,75389965,Lucas,Is there a way to use Pyhton in websites?,,1,0,True
web,75385259,mvrmoris,creating a gradient as background color from image colors in css,,1,0,False
web,75384129,zawkey,Owl Carousel card not centered,,1,0,True
web,75378052,Mattia Tomaselli,Check if website can be viewed without getting blocked by firewalls,,1,-1,True
web,75370392,Jafar Muzeyin,&quot;has been blocked by CORS policy: Cross origin requests are only supported for protocol schemes&quot; when accessing the spring boot API,,3,0,True
web,75363996,Joe Spark,How can I make a nginx.conf file to return different web pages for different subdomains?,,1,0,False
web,75358846,Gyuyeon Cho,can I use .h5 file in Django project?,,1,0,True
web,75357021,Bhaskar Jyoti Dutta,How to select Google search bar using CSS selector?,,1,-1,False
web,75354678,AtomProgrammer,How to link to python file inside html code,,1,0,True
web,75352833,Kyzoki,Cannot connect to streamlit app hosted on EC2 instance,,1,0,False
web,75349728,arun,driver find element if else statement,,1,0,False
web,75338696,user19646723,Flex container works differently in different browsers?,,1,0,False
web,75338002,Copy-Ninja,How to hide pyhon selenium works for browser,,1,-2,True
web,75331175,Nile Hallazgo,Created a Moodle website using google API account login working since last two years but now it stop working,,1,0,False
web,75328576,Jo&#227;o Pimentel,Vite manifest not found at: C:\xampp\htdocs\lolabout\public\build/manifest.json,,1,-3,False
web,75323330,HuMMeR-SI,Making a request to Google Cloud speech recognition using API key,,1,0,True
web,75323308,Nico Sheperd,Selenium Web Scraping,,2,-1,False
web,75316955,Slime ScienceBoy,I can&#39;t put this div in the website bottom,,1,-2,False
web,75315677,Oytoch,Kerberos on Apache 2.4 for Windows,,1,0,True
web,75310035,Yuval Levi,Refresh token for Google OAuth 2.0,,1,0,True
web,75309652,Lucas Fraga,Send XML File through httpRequest using Genexus 17,,1,1,True
web,75308054,Sarthak Dubey,How can we find only the WebElements present on the viewport with using selenium python find_elements method?,,1,1,False
web,75305319,samplecode3300,How does Neetcode persist checkbox count / progress bar without sign-in and without local storage?,,1,1,True
web,75302385,Spewy,How do I make my website fit all screen sizes?,,2,0,False
web,75302088,MimoDevelops,Opening Video Thumbnail - video will open but will not load,,1,0,False
web,75300697,Syed Farid,My div is stretching on large screens in Bootstrap 4,,1,0,False
web,75299912,Mouleas War,Calling a JS functions from another JS file in EmberJS,,1,0,True
web,75288447,Eran Krauss,"Modal is not animate in the first render on chrome browser from iphone (React, IOS, SCSS, Chrome)",,0,1,False
web,75281271,imconfused,TYPO3 Extension [NITSAN] Ultimate FAQ Error,,1,0,False
web,75281043,Stefanie Adler,How do I add a section title in Elementor?,,1,0,False
web,75280146,暫時時,keep running python script on website/ website holder,,0,1,False
web,75278299,Fast Arrows,SVG weird lines in safari,,1,0,True
web,75275341,Stinovlas,How to make Html table responsive with screen size?,,1,-2,False
web,75273816,OE7SET,(Qt for WebAssembly) MultiPointTouchArea loses all touchpoints after just one is released,,1,1,True
web,75273221,Billy Rogers,Problem displaying png file from web server to client web browser in C,,1,1,True
web,75272674,drdaaa7,img TAG attribute in the first one is different than others I can&#39;t get the link? web scraping python,,1,0,True
web,75270663,Abhiupadhyay,How to get the days from the post date to the current date in WordPress,,1,1,True
web,75263433,Swaraj Anand,React Codemirror import issue,,1,0,False
web,75255500,Ayush Gupta,How can I make web resources avialable offline?,,1,0,True
web,75252351,Glaikit7,Webscraping for a specific text string issue,,1,0,False
web,75248417,Marc,How can I create a MERN Stack application?,,2,0,True
web,75246414,Vatsalya Sharma,How to set the states in react before again using it?,,2,0,True
web,75243996,ANISH KUMAR RA2111026010011,why error is displayed with find function,,1,0,True
web,75242819,Azril Achmad,"Regular Expression is unsupported on Safari, but work in other browser like chrome, firefox, edge, etc",,1,0,False
web,75239853,Matt,"If a git rebase is found to be in-progress, are the local files affected?",,1,0,True
web,75233442,Shivam Lanke,How to follow links if in HTML element in href attribute we have href=&#39;#&#39; in scrapy?,,2,0,False
web,75230103,AbdelrahmanAhmed,My website is displaying weird characters instead of letters,,0,0,False
web,75226578,user21075295,How do you know if your website page is scrolled to the top,,1,0,False
web,75222821,Tarun gujral,in reactJs onChangeHandler method is not working properly,,1,1,False
web,75220598,MD Shafayat Islam,"How to upload an image file(jpg, png, etc... and store it in MongoDB?",,1,1,False
web,75210581,NOVA PC,Ruby On Rails - Controller doesn&#39;t open page while been called,,1,0,True
web,75210300,Jon Fetahi,CSS file not working properly with ASP.NET MVC5,,1,2,True
web,75200618,Priyam Dhanuka,Incorrect behavior of inline elements with inline-block elements,,1,0,True
web,75196667,Marvin Koopmans,How do I create a form that updates when users fill in their own data,,1,-1,False
web,75190876,Mike William Dopp,"Error crbug/1173575, non-JS module files deprecated - When trying to access the shopee website with .ee domain that is affiliated",,1,1,True
web,75190826,nontraditionalDev,Horizontal Slider X axis,,0,1,False
web,75189996,Settasit7,Still get firebase measurementId warning after relink to firebase analytics,,1,1,False
web,75189446,Alaa,Removing searching results,,1,-2,True
web,75188105,monstajoe,Zustand state change does not apply automatically in React frontend,,0,1,False
web,75186530,mrcihantokerxxx,Automatic routing in expressjs,,1,0,True
web,75184056,Fatima,"items are not being added into firestore after using doc , setDoc",,1,2,False
web,75181112,imconfused,"Implemented a html tag with typo3, but cant find it anymore",,1,0,True
web,75179095,Mark,How can I make my website display finished parts while the rest loads?,,1,1,False
web,75174256,Marcel Tinner,Enable &quot;watch episode&quot; feature with google structured data,,1,0,False
web,75172149,Abdul Gaffar,Request state size is exceeds the threshold limit in Mendix,,1,0,False
web,75171652,Md Alqma,Error while using db.collection() in react project,,1,0,False
web,75170869,dondondong,Why can I only change the CSS style through JS only once?,,2,0,False
web,75168471,Gaurav,Css file is not detected by react+vite Configuration,,1,1,False
web,75162506,IvanTenryu,Can&#39;t figure out what I did wrong in this encryption web app. Why it is changing the wrong letters?,,1,0,True
web,75161715,chadouhoney,Wicket - Localizing date input field,,1,0,False
web,75159956,Zaka Asta,I cannot connect image from Json file with React Js,,1,0,True
web,75159499,Hassan Tofayli,Make a 3d image preview on my website made of some images of the 3d object from different angles,,2,0,False
web,75159066,Hikikomari,This is used theme / web template?,,1,-2,True
web,75158394,Houssi27,How to add correctly a toggle switch in Odoo website,,1,0,False
web,75157569,Tahereh Maghsoudi,"When I scrap the Glassdoor reviews, It returns just the 1st page",,1,0,True
web,75156053,Alexander Car&#244;t,secure websocket (wss) on localhost,,0,1,False
web,75146332,ibbe,Block website only to be accessible from cloudflare,,1,0,False
web,75144300,Gwanox,How to make website embeds in Discord that have a profile picture and a footer like tweet embeds?,,1,0,False
