Topic,Count,Name,Representation,Representative_Docs
-1,2792,-1_to_in_python_the,"['to', 'in', 'python', 'the', 'how', 'with', 'of', 'model', 'keras', 'how to']","['how to divide values in columns in one dataframe by the same value in another df in pandas?', ""how to create dataframe that is the minimal values based on 2 other dataframe's in pandas (python)?"", 'why does my keras model with multiple inputs accept the shape of the training data for .call() but not for .evaluate()?']"
0,269,0_plot_matplotlib_plotly_chart,"['plot', 'matplotlib', 'plotly', 'chart', 'axis', 'bar', 'plotting', 'seaborn', 'in matplotlib', 'graph']","['try to change color of a stacked bar chart in python', 'how to plot histogram-like chart with custom renormalization of each bin using pandas/plotly?', 'how to display metadata in scatter plot in matplotlib?']"
1,228,1_date_datetime_time_pandas,"['date', 'datetime', 'time', 'pandas', 'timestamp', 'dates', 'month', 'in pandas', 'intervals', 'to']","['how to create a datetimeindex from integer date and time columns in pandas', 'creating start and end date - python', 'how to get the current utc date in python as a type of datetime.datetime']"
2,160,2_model_keras_h5_load,"['model', 'keras', 'h5', 'load', 'save', 'keras model', 'to load', 'loading', 'load_model', 'tensorflow']","['keras.models.load_model() fails to load model from .keras file', 'tf.keras.models.load_model fail to load a model that was saved with tf.keras.models.save_model', 'can\'t load keras model using ""tf.keras.models.load_model(\'model.keras\')""']"
3,144,3_lstm_lstm model_attention_keras lstm,"['lstm', 'lstm model', 'attention', 'keras lstm', 'layer', 'time series', 'in lstm', 'lstm layer', 'for lstm', 'model']","['rnn - lstm model for multivariate time series', 'can i stack 3 cnn2d layer with lstm, error in input to lstm layer', 'training lstm model in r']"
4,127,4_azure_api_fastapi_websocket,"['azure', 'api', 'fastapi', 'websocket', 'client', 'connection', 'token', 'server', 'google', 'cloud']","['azure search python sdk ssl certificate verification failed in open web ui (docker) - works in windows jupyter', 'importerror: install adlfs to access azure datalake gen2 and azure blob storage even after adlsf is installed', 'websocket connection closes when calling mcp tools in google cloud run']"
5,115,5_column_columns_rows_value,"['column', 'columns', 'rows', 'value', 'based on', 'based', 'values', 'row', 'replace', 'on']","['how can i check previous values of a column to find the value that is greater than the selected row in another column?', 'how to change the value of a column based on a condition and an inner join?', 'set the value of column b based on the value in the column name that corresponds to column a value']"
6,108,6_groupby_group_group by_pandas groupby,"['groupby', 'group', 'group by', 'pandas groupby', 'pandas', 'aggregate', 'by', 'grouping', 'column', 'columns']","['different values in group by columns before and after group by in pandas dataframe', 'pandas groupby multiple columns, aggregate some columns, add a count column of each group', 'pandas groupby multiple columns and aggregation (group by frequency and then by value)']"
7,90,7_large_memory_performance_efficiently,"['large', 'memory', 'performance', 'efficiently', 'optimize', 'dataset', 'pandas', 'how to optimize', 'large csv', 'to optimize']","['how can i efficiently read a large csv file in python without running out of memory?', 'how to efficiently handle large datasets in python using pandas?', 'how can i efficiently handle filtering and processing large datasets in python with limited memory?']"
8,77,8_scipy_numpy_array_sympy,"['scipy', 'numpy', 'array', 'sympy', 'np', 'numpy array', 'in numpy', 'arrays', 'matrix', 'imaginary']","['what is the best way for diagonalizing a triangular matrix in numpy/scipy?', 'why is manual (-ish) computation of log-sum-exp faster than numpy/scipy functions?', 'there is a problem with the sympy trigsimp function when it is used to simplify an expression involving sums of products of trigonometric functions']"
9,73,9_loss_loss function_custom loss_custom loss function,"['loss', 'loss function', 'custom loss', 'custom loss function', 'function', 'custom', 'keras custom loss', 'keras', 'loss function with', 'in keras']","['tensorflow custom loss function with additional data', 'how to make custom loss function in keras/tensorflow', 'custom loss function with tensorflow/keras']"
10,73,10_tkinter_widget_in tkinter_canvas,"['tkinter', 'widget', 'in tkinter', 'canvas', 'text', 'window', 'python tkinter', 'button', 'kivy', 'panel']","['getting selection of items from user using tkinter, and want to use user selection as a variable in the code', 'i want to remove background from the button in tkinter - python', 'why is the order of my tkinter windows changed, when the ""last"" window executes another tkinter program by popen?']"
11,69,11_csv_csv file_read_csv_file,"['csv', 'csv file', 'read_csv', 'file', 'csv with', 'pandas read_csv', 'to csv', 'from csv', 'reading', 'csv files']","['how to save values to a csv file in exponent in python', 'write list of dict to csv file in python', 'pandas read_csv, load empty/missing column values as nan while loading empty string for quoted empty strings values in csv file']"
12,68,12_vscode_vs code_code_vs,"['vscode', 'vs code', 'code', 'vs', 'venv', 'terminal', 'pip', 'in vscode', 'virtual', 'python']","['shift+enter in vs code python does not run selected lines', ""i have set up a virtual environment in vs code but can't import modules"", 'visual studio code does not run python file in the terminal when using venv, but gives no error and works in interactive window and debugger']"
13,64,13_sqlalchemy_sql_database_engine,"['sqlalchemy', 'sql', 'database', 'engine', 'using sqlalchemy', 'mysql', 'connection', 'table', 'to_sql', 'with sqlalchemy']","['convert sql database table to a dataframe with sqlalchemy’s orm', 'why sqlalchemy gives error ""num (integer) not a string"" when used with session but not when used with engine.begin()', 'python using oracledb to connect to oracle database with pandas dataframe error: ""pandas only supports sqlalchemy connectable (engine/connection)""']"
14,63,14_tensorflow_from tensorflow_import_tensorflow python,"['tensorflow', 'from tensorflow', 'import', 'tensorflow python', 'named tensorflow', 'module named tensorflow', 'cannot import', 'module', 'import name', 'cannot import name']","[""i get 'modulenotfounderror: no module named 'tensorflow.compat'"", ""when importing tensorflow.keras modulenotfounderror: no module named 'tensorflow.keras'"", ""importerror: cannot import name '__version__' from tensorflow.keras""]"
15,63,15_predict_model predict_predictions_model,"['predict', 'model predict', 'predictions', 'model', 'keras', 'prediction', 'predicting', 'keras model', 'keras model predict', 'different']","['convolutional keras model returns the same value on model.predict()', 'model predict in keras strange output', 'cannot use keras model.predict after creating sequential model']"
16,61,16_merge_dataframes_pandas merge_two,"['merge', 'dataframes', 'pandas merge', 'two', 'to merge', 'two dataframes', 'merging', 'dataframes with', 'how to merge', 'join']","['pandas: merging two dataframes with repeated values in the merging column', 'merge two dataframes with only one column', 'how to merge two dataframes based on condition']"
17,60,17_package_python package_python_setuptools,"['package', 'python package', 'python', 'setuptools', 'library', 'build', 'module', 'import', 'install', 'pyproject toml']","['could not build wheels for rl, which is required to install pyproject.toml-based projects', 'failed to build installable wheels for some pyproject.toml based projects llama-cpp-python', 'failed to build installable wheels for some pyproject.toml based projects (trying to install jwst package)']"
18,60,18_index_series_multiindex_pandas series,"['index', 'series', 'multiindex', 'pandas series', 'pandas', 'indexing', 'the index', 'pandas multiindex', 'of pandas', 'to multiindex']","['how to expand a single-index dataframe to a multiindex dataframe in an efficient way? (python, pandas)', 'how to split pandas series into two based on whether or not the index contains a certain word?', 'how to merge headers of index and other headers to one row of headers and add numeric index as single index']"
19,54,19_shapes_are incompatible_none_object has no,"['shapes', 'are incompatible', 'none', 'object has no', 'object has', 'valueerror shapes', 'attributeerror', 'valueerror', 'incompatible', 'are']","[""attributeerror: 'sequential' object has no attribute 'fit_generator'"", 'valueerror: shapes (none,) and (none, 100, 6) are incompatible', 'valueerror: shapes (none, 1) and (none, 4) are incompatible']"
20,53,20_module_no_module keras_module named keras,"['module', 'no', 'module keras', 'module named keras', 'named keras', 'attribute', 'has no attribute', 'no attribute', 'utils', 'keras']","[""attributeerror: module 'keras.src.backend' has no attribute 'variable'"", ""modulenotfounderror: no module named 'keras.engine'"", ""modulenotfounderror: no module named 'keras.src'""]"
21,53,21_type_generic_function_on type,"['type', 'generic', 'function', 'on type', 'typevar', 'type of', 'class', 'hint', 'type hint', 'function how to']","['map a generic type to an instance of its type', 'type hinting for dynamically modified variable type through __setattr__', 'how to check the actual type of a generic parameter in a python generic function to narrow all parameters of type t']"
22,47,22_excel_openpyxl_excel file_using python,"['excel', 'openpyxl', 'excel file', 'using python', 'an excel', 'an excel file', 'python', 'file', 'xlsx', 'using']","['reading an xlsx excel file into a pandas dataframe with openpyxl generates value error', 'why am i getting this error ""removed records: formula from /xl/worksheets/sheet2.xml part"" when writing an excel file with openpyxl?', 'how can i write a matrix or a pandas dataframe to an excel file using openpyxl, without iterating cell by cell?']"
23,45,23_json_nested_nested json_json file,"['json', 'nested', 'nested json', 'json file', 'file', 'json with', 'to dataframe', 'to json', 'csv', 'convert']","['explode nested json to dataframe', 'how can i update values in a nested json file using python?', 'how to correctly insert in a df using python a json file which is inside a key in a ""father"" json file?']"
24,44,24_bot_openai_telegram_pyrogram,"['bot', 'openai', 'telegram', 'pyrogram', 'aiogram', 'telethon', 'chatbot', 'message', 'routes', 'does']","[""aiogram bad request: can't parse inline keyboard button: text buttons are unallowed in the inline keyboard"", 'how can i find the direct flight routes, the one transfer routes and the two transfer routes from a specific destination? using openflight data', 'how to implement multi-select inline buttons in telegram bot with checkmarks using aiogram']"
25,43,25_polars_in polars_polars dataframe_polars dataframes,"['polars', 'in polars', 'polars dataframe', 'polars dataframes', 'columns', 'columns in polars', 'polar', 'in polars and', 'with polars', 'polars how']","['dynamically index a column in polars', 'compare 2 columns in polars and rearrange them when they match and unmatch?', 'optimize reading of a very wide dataset (100k columns) in polars and pandas']"
26,43,26_selenium_chrome_using selenium_element,"['selenium', 'chrome', 'using selenium', 'element', 'headless', 'selenium in', 'with selenium', 'selenium python', 'python selenium', 'headless mode']","[""how do i scrape a person's name from their linkedin profile using selenium's chrome driver in python?"", 'take screenshot of whole html-page using python with selenium in non-headless mode?', 'creating a screenshot of the full screen using selenium in headless mode?']"
27,43,27_memory_gpu_leak_gpu memory,"['memory', 'gpu', 'leak', 'gpu memory', 'memory leak', 'memory usage', 'usage', 'tensorflow', 'ram', 'memory leak when']","['ram memory leak when scripting a sampling trainer for a bert encoder and lstm decoder tensorflow on gpu', 'memory leak in tensorflow', 'gpu ran out of memory. how to invoke garbage collector for cleaning the gpu memory at each combination of hyperparameters using gridsearchcv?']"
28,42,28_nan_nan values_nan in_nans,"['nan', 'nan values', 'nan in', 'nans', 'values', 'nan in dataframe', 'dataframe', 'check', 'replace', 'values with']","[""nan values in pandas are not being filled by the interpolate function when it's applied to a full dataframe"", ""looping through a dataframe column to replace nan values with values that aren't null:"", 'why std(skipna=false) and std(skipna=true) yield different results even when there are no nan or null values in the series?']"
29,42,29_layer_keras_layer in_layers,"['layer', 'keras', 'layer in', 'layers', 'intermediate', 'keras layer', 'output of', 'custom layer', 'an intermediate', 'keras model']","['custom layer in tensorflow/keras', 'obtaining output of an intermediate layer in tensorflow/keras manual training', 'get the output of an intermediate layer in keras for gradcam for a subclassed model']"
